TransactionAmount,TransactionType,Location,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,Target
14.090000000000032,Debit,San Diego,162.198.218.92,M015,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,1,3
376.24,Debit,Houston,13.149.61.4,M052,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,2,1
126.29000000000002,Debit,Mesa,215.97.143.157,M009,Online,19.000000000000004,Student,56.0,1.0,1122.3500000000004,2024-11-04 08:07:04,1,2
184.5,Debit,Raleigh,200.13.225.150,M002,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06,1,2
92.15,Debit,Oklahoma City,117.67.192.211,M054,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,1,2
815.96,Debit,Nashville,32.169.88.41,M007,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,2024-11-04 08:06:32,0,3
190.02,Debit,Memphis,116.175.11.222,M030,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,1,2
781.76,Debit,Memphis,193.83.0.183,M025,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,0,2
166.99,Debit,Louisville,188.124.181.12,M017,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,1,0
465.45,Debit,Denver,221.169.49.152,M025,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,2,3
492.93,Debit,Columbus,114.223.129.47,M059,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,2,3
59.31999999999999,Debit,Los Angeles,116.44.12.250,M040,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,1,3
85.76999999999998,Debit,Las Vegas,59.132.247.252,M065,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,1,1
145.54,Debit,Raleigh,119.186.154.104,M028,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,1,2
40.31999999999999,Debit,Milwaukee,21.28.32.1,M008,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,1,3
127.44999999999999,Debit,Las Vegas,152.234.65.155,M092,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,1,3
56.170000000000016,Debit,Detroit,33.28.138.82,M043,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,1,0
59.120000000000005,Debit,Baltimore,187.199.178.27,M053,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,1,1
877.81,Debit,Los Angeles,134.140.85.231,M094,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,0,2
124.76,Debit,Seattle,59.145.242.13,M002,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,1,2
78.13,Debit,Milwaukee,33.28.138.82,M028,Branch,26.0,Student,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,1,0
335.63,Debit,Oklahoma City,49.20.211.229,M040,Online,55.0,Retired,216.0,1.0,1019.3899999999999,2024-11-04 08:07:31,2,3
328.47,Debit,San Antonio,6.234.101.35,M014,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,2,3
34.02000000000001,Debit,Philadelphia,109.105.179.186,M046,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,1,1
55.31999999999999,Debit,Tucson,173.135.78.201,M009,ATM,19.000000000000004,Student,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,1,2
304.31,Debit,Louisville,77.208.193.198,M005,Branch,27.0,Student,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,2,2
164.49,Debit,Baltimore,113.115.81.178,M070,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,1,0
510.24,Debit,Oklahoma City,186.135.2.148,M090,Online,19.000000000000004,Student,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,2,2
626.9,Debit,Denver,93.146.251.20,M023,Online,26.0,Student,138.0,1.0,265.5100000000002,2024-11-04 08:07:23,0,0
85.43,Debit,Virginia Beach,194.174.252.1,M078,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,1,1
169.5,Debit,San Diego,42.219.228.159,M036,Branch,28.0,Student,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,1,2
104.63,Debit,Omaha,186.135.2.148,M095,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,1,3
316.95,Debit,Mesa,81.102.230.41,M052,Branch,25.0,Student,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,2,2
386.52,Debit,Indianapolis,186.54.68.246,M064,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09,2,3
112.07,Debit,Kansas City,198.166.198.233,M064,Branch,23.0,Student,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,1,0
349.64,Debit,Las Vegas,9.230.41.239,M097,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,2,1
5.770000000000039,Debit,Charlotte,155.164.18.235,M071,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,1,1
298.42,Debit,Indianapolis,92.214.76.157,M005,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,1,3
521.06,Debit,Albuquerque,130.92.201.49,M063,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,2,0
133.55,Debit,Atlanta,40.226.196.34,M091,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,1,3
143.21000000000004,Debit,Dallas,65.164.3.100,M066,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,1,1
24.769999999999982,Debit,Boston,9.230.41.239,M070,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,1,3
91.53,Debit,Milwaukee,94.37.250.128,M095,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,1,1
120.29000000000002,Debit,Miami,162.198.218.92,M045,Branch,19.000000000000004,Student,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,1,2
174.25,Debit,Seattle,130.92.201.49,M032,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,1,1
183.71,Debit,Denver,86.103.2.29,M074,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,1,0
259.91,Debit,Denver,36.13.239.172,M028,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,1,1
154.71,Debit,San Diego,167.104.180.235,M030,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,1,2
24.560000000000002,Debit,Mesa,16.131.3.140,M033,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,1,1
392.96,Debit,Kansas City,186.54.68.246,M022,Online,24.0,Student,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,2,2
230.66,Debit,Houston,60.43.160.195,M049,Branch,21.0,Student,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,1,0
644.17,Debit,San Antonio,165.38.56.205,M093,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04,0,2
25.360000000000014,Debit,Louisville,62.152.134.92,M007,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,1,3
147.62,Debit,Charlotte,149.84.108.18,M028,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,1,3
115.01999999999998,Debit,San Antonio,134.222.122.238,M004,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,1,1
383.37,Debit,Fort Worth,18.72.115.111,M066,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,2,1
196.16,Debit,Virginia Beach,204.34.243.93,M099,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,1,1
129.94,Debit,Las Vegas,111.226.226.202,M045,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,1,1
306.9,Debit,Chicago,96.115.67.230,M047,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,2,1
114.98000000000002,Debit,Seattle,115.196.150.105,M032,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,1,3
756.5899999999999,Debit,Sacramento,174.61.77.54,M012,Branch,27.0,Student,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,0,2
503.76,Debit,Los Angeles,216.151.64.40,M083,Online,22.0,Student,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,2,2
143.02999999999997,Debit,San Antonio,197.162.55.147,M055,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,1,3
327.86,Debit,Fresno,188.124.181.12,M051,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,2,3
2.5,Debit,San Diego,44.73.3.217,M042,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,1,1
115.82999999999998,Debit,Fresno,124.6.134.78,M086,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,1,1
53.56999999999999,Debit,Houston,45.64.74.86,M025,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,1,3
331.65,Debit,Portland,26.240.219.199,M006,Online,41.0,Engineer,61.0,1.0,4172.57,2024-11-04 08:11:00,2,3
5.039999999999964,Debit,Washington,63.67.150.226,M001,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,1,3
